English,Polish
conceive,pojąć
conception,koncepcja
concession,koncesja
concrete,Beton
condemn,potępiać
confer,przyznać
confess,wyznać
confession,wyznanie
configuration,konfiguracja
confine,ograniczać
confirmation,potwierdzenie
confront,konfrontować
confrontation,konfrontacja
confusion,dezorientacja
congratulate,pogratulować
congregation,kongregacja
congressional,kongresowy
conquer,podbić
conscience,sumienie
consciousness,świadomość
consecutive,kolejny
consensus,zgoda
consent,zgoda
consequently,więc
conservation,ochrona
conserve,chronić
considerable,znaczny
considerably,wydatnie
consistency,konsystencja
consistently,konsekwentnie
consolidate,konsolidować
conspiracy,spisek
constituency,okręg wyborczy
constitute,stanowić
constitution,konstytucja
constitutional,konstytucyjny
constraint,ograniczenie
consult,konsultować
consultant,konsultant
consultation,konsultacja
consumption,konsumpcja
contemplate,rozważać
contempt,pogarda
contend,walczyć
contender,zawodnik
content,treść
contention,twierdzenie
continually,nieustannie
contractor,wykonawca
contradiction,sprzeczność
contrary,przeciwnie
contributor,współpracownik
controversial,kontrowersyjny
controversy,spór
convenience,wygoda
convention,konwencja
conventional,standardowy
conversion,konwersja
convey,przekazywać
convict,skazać
conviction,przekonanie
convincing,przekonywający
cooperate,współpracować
cooperative,spółdzielnia
coordinate,koordynować
coordination,koordynacja
coordinator,koordynator
cop,policjant
cope,radzić sobie
copper,miedź
copyright,prawo autorskie
corporation,korporacja
correction,korekta
correlate,korelat
correlation,korelacja
correspond,odpowiadać
correspondence,korespondencja
correspondent,korespondent
corresponding,odpowiedni
corridor,korytarz
corrupt,skorumpowany
corruption,korupcja
costly,kosztowny
councillor,radny
counselling,doradztwo
counsellor,doradca
counter,lada
counterpart,odpowiednik
countless,niezliczony
coup,wspaniały wyczyn
courtesy,kurtuazja
coverage,zasięg
crack,pękać
craft,rzemiosło
crawl,pełzać
creativity,kreatywność
creator,twórca
credibility,wiarygodność
credible,wiarygodny
creep,skradać się
critically,krytycznie
critique,krytyka
crown,korona
crude,surowy
cruise,rejs
crush,zmiażdżyć
crystal,kryształ
cue,replika
cult,kult
cultivate,hodować
curiosity,ciekawość
curious,ciekawski
curriculum,program
custody,opieka
cute,Uroczy
cutting,cięcie
cynical,cyniczny
dairy,mleczarnia
dam,zapora
damaging,szkodliwe
dare,śmieć
darkness,ciemność
database,baza danych
dawn,świt
deadline,termin ostateczny
deadly,śmiertelnie
dealer,kupiec
debris,gruz
debut,debiut
decision-making,podejmowanie decyzji
decisive,decydujący
deck,pokład
declaration,deklaracja
dedicated,Dedykowany
dedication,poświęcenie
deed,czyn
deem,sądzić
default,domyślny
defect,wada
defender,obrońca
defensive,obronny
deficiency,niedobór
deficit,deficyt
defy,przeciwstawiać się
delegate,delegat
delegation,delegacja
delete,usuwać
delicate,delikatny
democracy,demokracja
democratic,demokratyczny
demon,demon
demonstration,demonstracja
denial,odmowa
denounce,potępiać
dense,gęsty
density,gęstość
depart,odjeżdżać
dependence,zależność
dependent,zależny
depict,przedstawiać
deploy,wdrożyć
deployment,zastosowanie
deposit,depozyt
depression,depresja
deprive,pozbawiać
deputy,zastępca
derive,czerpać
descend,schodzić
descent,zejście
designate,określić
desirable,pożądany
desktop,Desiktop
desperately,beznadziejnie
destruction,zniszczenie
destructive,destrukcyjny
detain,zatrzymać
detection,wykrywanie
detention,pozbawienie wolności
deteriorate,pogarszać się
determination,determinacja
devastate,niszczyć
devil,diabeł
devise,wymyślać
devote,poświęcać
diagnose,rozpoznać chorobę
diagnosis,diagnoza
dictate,dyktować
dictator,dyktator
differ,różnić się
differentiate,różnicować
dignity,godność
dilemma,dylemat
dimension,wymiar
diminish,zmniejszać
dip,zanurzać
diplomat,dyplomata
diplomatic,dyplomatyczny
directory,informator
disability,inwalidztwo
disabled,wyłączony
disagreement,niezgoda
disappoint,zawieść
disappointment,rozczarowanie
disastrous,fatalny
discard,wyrzucać
discharge,wypisać
disclose,ujawniać
disclosure,ujawnienie
discourage,zniechęcać
discourse,rozprawiać
discretion,dyskrecja
discrimination,dyskryminacja
dismissal,zwolnienie
disorder,nieład
displace,wypierać
disposal,sprzedaż
dispose,dysponować
dispute,spór
disrupt,zakłócać
disruption,zakłócenie
dissolve,rozwiązać
distant,odległy
distinct,odrębny
distinction,wyróżnienie
distinctive,charakterystyczny
distinguish,wyróżnić
distort,zniekształcać
distract,rozpraszać
distress,rozpacz
disturb,przeszkadzać
disturbing,niepokojący
dive,nurkować
diverse,różnorodny
diversity,różnorodność
divert,odwracać
divine,boski
divorce,rozwód
doctrine,doktryna
documentation,dokumentacja
domain,domena
dominance,przewaga
dominant,dominujący
donation,darowizna
donor,dawca
dose,dawka
dot,kropka
downtown,śródmieście
drain,odpływ
dramatically,dramatycznie
drift,dryf
driving,napędowy
drought,susza
drown,utopić
dual,podwójny
dub,zdubbingować
dull,nudny
dumb,głupi
dump,wysypisko
duo,duet
duration,czas trwania
dynamic,dynamiczny
eager,chętny
earnings,zyski
ease,łatwość
echo,echo
ecological,ekologiczny
economics,ekonomika
economist,ekonomista
editorial,redakcyjny
educator,pedagog
effectiveness,skuteczność
efficiency,efektywność
efficiently,skutecznie
ego,ego
elaborate,wyszukany
elbow,łokieć
electoral,wyborczy
electronics,elektronika
elegant,elegancki
elementary,podstawowy
elevate,podnieść
eligible,odpowiedni
eliminate,wyeliminować
elite,elita
embark,rozpocząć
embarrassment,zakłopotanie
embassy,ambasada
embed,osadzać
embody,ucieleśniać
embrace,uścisk
emergence,powstanie
emission,emisja
emotionally,emocjonalnie
empire,imperium
empirical,empiryczny
empower,umożliwiać
enact,inscenizować
encompass,objąć
encouragement,zachęta
encouraging,zachęcający
endeavour,dążyć
endless,nieskończony
endorse,podpisać się
endorsement,poparcie
endure,wytrzymać
enforce,egzekwować
enforcement,egzekwowanie
engagement,zaręczyny
engaging,ujmujący
enjoyable,przyjemny
enquire,pytać się
enrich,wzbogacać
enrol,zapisać
ensue,wynikać
enterprise,przedsiębiorstwo
entertaining,rozrywkowy
enthusiast,entuzjasta
entitle,upoważniać
entity,podmiot
entrepreneur,przedsiębiorca
envelope,koperta
epidemic,epidemia
equality,równość
equation,równanie
equip,wyposażyć
equivalent,równowartość
era,era
erect,wyprostowany
erupt,wybuchać
escalate,wzmagać
essence,istota
essentially,esencjonalnie
establishment,ustanowienie
eternal,wieczny
ethic,etyczny
ethnic,etniczny
evacuate,ewakuuję
evaluation,ocena
evident,oczywisty
evoke,przywołać
evolution,ewolucja
evolutionary,ewolucyjny
evolve,ewoluować
exaggerate,wyolbrzymiać
exceed,przekroczyć
excellence,doskonałość
exception,wyjątek
exceptional,wyjątkowy
excess,nadmiar
excessive,nadmierny
exclude,wykluczać
exclusion,wykluczenie
exclusive,ekskluzywny
exclusively,wyłącznie
execute,wykonać
execution,wykonanie
exert,wywierać
exhibit,wystawa
exile,wygnanie
exit,Wyjście
exotic,egzotyczny
expansion,ekspansja
expenditure,wydatek
experimental,eksperymentalny
expertise,ekspertyza
expire,wygasać
explicit,wyraźny
explicitly,wyraźnie
exploit,wykorzystać
exploitation,eksploatacja
explosive,materiał wybuchowy
exposure,narażenie
extension,rozszerzenie
extensive,rozległy
extensively,obszernie
extract,ekstrakt
extremist,ekstremista
fabric,tkanina
fabulous,wspaniały
facilitate,ułatwiać
faction,odłam
faculty,wydział
fade,znikać
failed,przegrany
fairness,uczciwość
fake,podróbka
fame,sława
fantasy,kaprys
fare,opłata za przejazd
fatal,śmiertelny
fate,los
favourable,korzystny
feat,wyczyn
federal,federalny
feeding,karmienie
feminist,feminista
fever,gorączka
fibre,błonnik
fierce,zaciekły
film-maker,twórca filmowy
filter,filtr
fine,Cienki
firearm,broń palna
firefighter,strażak
firework,fajerwerk
firm,solidny
firmly,mocno
fit,pasować
fixture,osprzęt
flavour,smak
flaw,wada
flawed,wadliwe
flee,uciec
fleet,flota
flesh,ciało
flexibility,elastyczność
flourish,zakrętas
fluid,płyn
fond,czuły
fool,głupiec
footage,materiał filmowy
forbid,zakazać
forecast,prognoza
foreigner,cudzoziemiec
forge,kuźnia
format,format
formation,tworzenie
formerly,dawniej
formula,formuła
formulate,formułować
forth,naprzód
forthcoming,nadchodzący
fortunate,szczęśliwy
forum,forum
fossil,skamieniałość
foster,pielęgnować
foundation,fundacja
founder,założyciel
fraction,frakcja
fragile,kruchy
fragment,fragment
framework,struktura
franchise,koncesja
frankly,szczerze mówiąc
fraud,oszustwo
freely,swobodnie
frequent,częsty
frustrated,udaremniony
frustrating,denerwujący
frustration,udaremnienie
fulfil,spełniać
full-time,Pełny etat
functional,funkcjonalny
fundamentally,zasadniczo
fundraising,zbieranie funduszy
funeral,pogrzeb
furious,wściekły
gallon,galon
gambling,hazard
gaming,hazard
gathering,zgromadzenie
gay,Gay
gaze,spojrzenie
gear,bieg 
gender,płeć
gene,gen
generic,ogólny
genetic,genetyczny
genius,geniusz
genocide,ludobójstwo
genuine,prawdziwy
genuinely,prawdziwie
gesture,gest
gig,koncert
glance,zerknąć
glimpse,dojrzeć
globalization,globalizacja
globe,glob
glorious,wspaniały
glory,chwała
golden,złoty
goodness,dobroć
gorgeous,przepiękny
governance,rządzenie
governor,gubernator
grace,łaska
graphic,graficzny
graphics,grafika
grasp,chwyt
grave,grób
gravity,powaga
greatly,bardzo
greenhouse,szklarnia
grid,siatka
grief,smutek
grin,szeroki uśmiech
grind,mielić
grip,chwyt
grocery,sklep spożywczy
guerrilla,partyzant
guidance,przewodnictwo
guideline,Wytyczne
guilt,wina
gut,jelito
habitat,siedlisko
hail,grad
halfway,wpół
halt,postój
handful,garść
handling,obsługiwanie
handy,poręczny
harassment,molestowanie
harbour,port
hardware,sprzęt komputerowy
harmony,harmonia
harsh,szorstki
harvest,zbiór
hatred,nienawiść
haunt,straszyć
hazard,zaryzykować
headquarters,siedziba
heal,leczyć
healthcare,opieka zdrowotna
heighten,podnieść
helmet,kask
hence,stąd
herb,ziele
heritage,dziedzictwo
hidden,ukryty
hierarchy,hierarchia
high-profile,głośno
highway,autostrada
hilarious,zabawny
hint,wskazówka
hip,biodro
historian,historyk
homeland,ojczyzna
homeless,bezdomny
honesty,uczciwość
hook,hak
hopeful,pełen nadziei
hopefully,miejmy nadzieję
horizon,horyzont
horn,klakson
hostage,zakładnik
hostile,wrogi
hostility,wrogość
humanitarian,humanitarny
humanity,ludzkość
humble,pokorny
hunger,głód
hydrogen,wodór
hypothesis,hipoteza
icon,ikona
identical,identyczny
identification,identyfikacja
ideological,ideologiczny
ideology,ideologia
idiot,idiota
ignorance,ignorancja
illusion,iluzja
imagery,obrazowość
immense,ogromny
immigration,imigracja
imminent,nadciągający
immune,odporny
implement,narzędzie
implementation,realizacja
implication,implikacja
imprison,uwięzić
imprisonment,uwięzienie
inability,niemożność
inadequate,niewystarczający
inappropriate,nieodpowiedni
incentive,zachęta
incidence,zakres
inclined,skłonny
inclusion,włączenie
incorporate,włączać
incorrect,błędny
incur,ponieść
independence,niezależność
index,indeks
indication,wskazanie
indicator,wskaźnik
indictment,akt oskarżenia
indigenous,rdzenny
induce,spowodować
indulge,pobłażać
inequality,nierówność
inevitable,nieunikniony
infamous,niesławny
infant,niemowlę
infect,infekować
infer,wywnioskować
inflation,inflacja
inflict,zadać
influential,wpływowy
info,informacje
infrastructure,infrastruktura
inhabitant,mieszkaniec
inherent,nieodłączny
inherit,dziedziczyć
inhibit,hamować
initiate,zainicjować
inject,wstrzykiwać
injection,zastrzyk
injustice,niesprawiedliwość
ink,atrament
inmate,więzień
innovation,innowacja
innovative,Innowacyjny
input,wejście
insert,wstawić
insertion,wprowadzenie
insider,wtajemniczony
inspect,sprawdzać
inspection,kontrola
inspector,inspektor
inspiration,inspiracja
installation,instalacja
instant,natychmiastowy
instantly,natychmiast
instinct,instynkt
institutional,instytucjonalny
instruct,polecić
instrumental,instrumentalny
insufficient,niewystarczający
insult,znieważenie
intact,nienaruszony
intake,wlot
integral,całka
integrate,zintegrować
integrated,zintegrowany
integration,integracja
integrity,uczciwość
intellectual,intelektualny
intensify,zintensyfikować
intensity,intensywność
intensive,intensywny
intent,zamiar
interact,antrakt
interaction,wzajemne oddziaływanie
interactive,interaktywny
interface,interfejs
interfere,ingerować
interference,ingerencja
interim,okres przejściowy
interior,wnętrze
intermediate,mediator
interpretation,interpretacja
interval,interwał
intervene,interweniować
intervention,interwencja
intimate,intymny
intriguing,intrygancki
invade,najechać
invasion,inwazja
investigator,badacz
investor,inwestor
invisible,niewidzialny
invoke,odwołać się
involvement,uwikłanie
ironic,ironiczny
ironically,ironicznie
irony,ironia
irrelevant,nieistotny
isolate,izolować
isolated,odosobniony
isolation,izolacja
jail,więzienie
jet,strumień
joint,wspólny
journalism,dziennikarstwo
judicial,sądowy
junction,węzeł
jurisdiction,jurysdykcja
jury,jury
just,Tylko
justification,uzasadnienie
kidnap,porwać kogoś
kidney,nerka
kingdom,królestwo
kit,zestaw
lad,chłopak
ladder,drabina
landing,lądowanie
landlord,gospodarz
landmark,punkt orientacyjny
lane,uliczka
lap,okrążenie
large-scale,duża skala
laser,laser
lately,ostatnio
latter,końcowy
lawn,trawnik
lawsuit,proces sądowy
layout,układ
leaflet,ulotka
leak,przeciek
leap,skok
legacy,dziedzictwo
legend,legenda
legendary,legendarny
legislation,ustawodawstwo
legislative,ustawodawczy
legislature,legislatura
legitimate,prawowity
lengthy,przydługi
lens,obiektyw
lesbian,lesbijka
lesser,pomniejszy
lethal,śmiertelny
liable,podatny
liberal,liberał
liberation,oswobodzenie
liberty,wolność
license,licencja
lifelong,trwający całe życie
lifetime,życie
lighting,oświetlenie
likelihood,prawdopodobieństwo
likewise,podobnie
limb,kończyna
limitation,ograniczenie
line-up,skład
linear,liniowy
linger,marudzić
listing,wymienianie kolejno
literacy,umiejętność czytania i pisania
literally,dosłownie
literary,literacki
litre,litr
litter,śmieci
liver,wątroba
lobby,lobby
log,dziennik
logic,logika
logo,logo
long-standing,Długotrwały
long-time,Długoletnie
loom,warsztat tkacki
loop,pętla
lottery,loteria
loyal,wierny
loyalty,lojalność
lyric,liryczny
machinery,maszyneria
magical,magiczny
magistrate,sędzia
magnetic,magnetyczny
magnificent,wspaniały
magnitude,ogrom
mainland,kontynent
mainstream,główny nurt
maintenance,konserwacja
major,główny
make-up,makijaż
making,zrobienie
mandate,mandat
mandatory,obowiązkowy
manifest,oczywisty
manipulate,manipulować
manipulation,manipulacja
manufacture,produkcja
manufacturing,produkcja
manuscript,rękopis
marathon,maraton
march,marzec
margin,margines
marginal,marginalny
marine,morski
marker,znacznik
marketplace,rynek
martial,wojenny
mask,maska
massacre,masakra
mate,kumpel
mathematical,matematyczny
mature,dojrzały
maximize,wyolbrzymiać
mayor,burmistrz
meaningful,znaczący
meantime,w międzyczasie
mechanic,mechanik
mechanical,mechaniczny
mechanism,mechanizm
medal,medal
medication,lek
medieval,średniowieczny
meditation,medytacja
melody,melodia
membership,członkostwo
memo,notatka
memoir,rozprawa
memorable,niezapomniany
memorial,memoriał
mentor,mentor
merchant,kupiec
mercy,miłosierdzie
mere,sam
merely,zaledwie
merge,łączyć
merger,połączenie
merit,zasługa
metaphor,metafora
methodology,metodologia
midst,środek
migration,emigracja
militant,wojowniczy
militia,milicja
mill,młyn
miner,górnik
minimal,minimalny
minimize,zminimalizować
mining,górnictwo
ministry,ministerstwo
minute,chwila
miracle,cud
miserable,nieszczęśliwy
misery,nędza
misleading,zwodniczy
missile,pocisk
mob,tłum
mobility,ruchliwość
mobilize,zmobilizować
mode,tryb
moderate,umiarkowany
modest,skromny
modification,modyfikacja
momentum,pęd
monk,mnich
monopoly,monopol
monster,potwór
monthly,miesięczny
monument,pomnik
morality,moralność
moreover,ponadto
mortgage,hipoteka
mosque,meczet
motion,ruch
motivate,motywować
motivation,motywacja
motive,motyw
motorist,kierowca
moving,poruszający
municipal,komunalny
mutual,wzajemne
myth,mit
naked,nagi
namely,mianowicie
nasty,paskudny
nationwide,ogólnonarodowy
naval,morski
navigation,nawigacja
nearby,w pobliżu
necessity,konieczność
neglect,zaniedbanie
negotiate,pertraktować
negotiation,negocjacja
neighbouring,sąsiedni
nest,gniazdo
net,internet
neutral,neutralny
newly,nowo
newsletter,biuletyn
niche,nisza
noble,szlachetny
nod,ukłon
nominate,mianować
nomination,nominacja
nominee,nominat
non-profit,niedochodowy
nonetheless,niemniej jednak
nonsense,nonsens
noon,południe
norm,norma
notable,znaczny
notably,szczególnie
notebook,zeszyt
notify,notyfikować
notorious,notoryczny
novel,powieść
novelist,powieściopisarz
nowadays,Obecnie
nursery,żłobek
nursing,pielęgniarstwo
nutrition,odżywianie
obesity,otyłość
objection,sprzeciw
oblige,zobowiązać
observer,obserwator
obsess,prześladować
obsession,obsesja
obstacle,przeszkoda
occasional,okolicznościowy
occupation,zawód
occupy,zająć
occurrence,występowanie
odds,szanse
offender,przestępca
offering,ofiara
offspring,potomstwo
ongoing,bieżący
openly,otwarcie
opera,opera
operational,operacyjny
operator,operator
opt,optować
optical,optyczny
optimism,optymizm
optimistic,optymistyczny
oral,doustny
orchestra,orkiestra
organic,organiczny
organizational,organizacyjny
orientation,orientacja
originate,pochodzić
outbreak,wybuch
outfit,strój
outing,wypad
outlet,wylot
outlook,perspektywy
output,wyjście
outrage,skandal
outsider,outsider
outstanding,wybitny
overcome,pokonać
overlook,przeoczyć
overly,zbyt
overnight,nocny
overseas,za granicą
oversee,nadzorować
overturn,obalić
overwhelm,zasypać
overwhelming,przytłaczający
ownership,własność
oxygen,tlen
packet,paczka
pad,podkładka
palm,palma
panic,panika
parade,parada
parallel,równoległy
parameter,parametr
parental,rodzicielski
parish,parafialny
parliamentary,parlamentarny
part-time,niepełny etat
partial,częściowy
partially,częściowo
participation,udział
partnership,współpraca
passing,przechodzący
passionate,namiętny
passive,pasywny
password,hasło
pastor,pastor
patch,skrawek
patent,patent
pathway,ścieżka
patience,cierpliwość
patrol,patrol
patron,patron
pause,pauza
peak,szczyt
peasant,chłop
peculiar,osobliwy
peer,rówieśnik
penalty,kara
perceive,postrzegać
perception,postrzeganie
permanently,na stałe
persist,trwać
persistent,uporczywy
personnel,personel
petition,petycja
philosopher,filozof
philosophical,filozoficzny
physician,lekarz
pill,pigułka
pioneer,pionier
pipeline,rurociąg
pirate,pirat
pit,dół
pity,szkoda
placement,umieszczenie
plea,zarzut
plead,błagać
pledge,zastaw
plug,wtyczka
plunge,wpaść
pole,Polak
poll,głosowanie
pond,staw
pop,muzyka pop
portfolio,teczka
portion,część
portray,przedstawiać
post-war,powojenny
postpone,odłożyć
potentially,potencjalnie
practitioner,praktykujący
preach,kazanie
precede,poprzedzać
precedent,precedens
precious,cenny
precise,dokładny
precisely,dokładnie
precision,precyzja
predator,drapieżnik
predecessor,poprzednik
predictable,możliwy do przewidzenia
predominantly,przeważnie
preference,pierwszeństwo
pregnancy,ciąża
prejudice,uprzedzenie
preliminary,wstępny
premier,premier
premise,przesłanka
premium,premia
prescribe,przepisać
prescription,recepta
presently,obecnie
preservation,ochrona
preside,przewodniczyć
presidency,przewodnictwo
presidential,prezydencki
prestigious,prestiżowy
presumably,prawdopodobnie
presume,przypuszczać
prevail,panować
prevalence,rozpowszechnienie
prevention,zapobieganie
prey,ofiara
pride,duma
primarily,głównie
principal,główny
prior,wcześniejszy
privatization,prywatyzacja
privilege,przywilej
probability,prawdopodobieństwo
probable,prawdopodobny
probe,sonda
problematic,problematyczny
proceed,przystępować
proceeding,postępowanie
proceeds,dochód
processing,przetwarzanie
processor,edytor
proclaim,głosić
productive,produktywny
productivity,wydajność
profitable,opłacalny
profound,głęboki
programming,programowanie
progressive,progresywny
prohibit,zakazać
projection,występ
prominent,znaczący
promising,obiecujący
promotion,promocja
prompt,podpowiedź
pronounced,wyraźny
propaganda,propaganda
proportion,proporcja
proposition,propozycja
prosecute,zaskarżyć
prosecution,oskarżenie
prosecutor,oskarżyciel
prospective,spodziewany
prosperity,dobrobyt
protective,ochronny
protein,białko
protester,protestujący
protocol,protokół
province,województwo
provincial,prowincjonalny
provision,zaopatrzenie
provoke,sprowokować
psychiatric,psychiatryczny
psychological,psychologiczny
publicity,reklama
publishing,wydawniczy
pulse,puls
pump,pompa
punch,dziurkacz
punk,punk
purely,czysto
pursuit,pościg
puzzle,puzzle
query,zapytanie
quest,poszukiwanie
questionnaire,kwestionariusz
quota,kontyngent
racial,rasowy
racism,rasizm
racist,rasistowski
radar,radar
radiation,promieniowanie
radical,rodnik
rage,wściekłość
raid,nalot
rail,kolej
rally,rajd
random,losowy
ranking,zaszeregowanie
rape,rzepak
rat,szczur
rating,ocena
ratio,stosunek
rational,racjonalny
ray,promień
readily,łatwo
realization,realizacja
realm,królestwo
rear,tył
reasonably,rozsądnie
reasoning,rozumowanie
reassure,uspokajać
rebel,buntownik
rebellion,bunt
rebuild,odbudować
receiver,odbiornik
recession,recesja
recipient,odbiorca
reckon,myśleć
recognition,uznanie
reconstruction,rekonstrukcja
recount,opowiadać
recovery,powrót do zdrowia
recruit,rekrut
recruitment,rekrutacja
referee,sędzia
referendum,referendum
reflection,odbicie
reform,reforma
refuge,schronienie
refugee,uchodźca
refusal,odmowa
regain,wracać
regardless,mimo wszystko
regime,reżim
registration,rejestracja
regulate,regulować
regulator,regulator
regulatory,regulacyjny
rehabilitation,rehabilitacja
reign,królować
reinforce,wzmacniać
rejection,odrzucenie
relevance,znaczenie
reliability,niezawodność
relieve,łagodzić : uśmierzać
relieved,odciążony
